P1,P2,P3,P4,P5,P6
4.166666667,5,5,5,5,5
4.166666667,5,5,5,5,5
4.166666667,5,5,5,5,5
4.166666667,5,5,5,5,5
4.166666667,5,5,5,5,5
4.166666667,5,5,5,5,5
3.888888889,5,5,5,4.75,5
3.888888889,5,5,5,4.75,5
3.888888889,5,5,5,4.75,5
3.888888889,5,5,5,4.75,5
3.888888889,5,5,5,4.75,5
3.888888889,5,5,5,4.75,5
3.944444444,4.8,3,3,4.5,4
3.944444444,4.8,3,3,4.5,4
3.944444444,4.8,3,3,4.5,4
3.944444444,4.8,3,3,4.5,4
3.944444444,4.8,3,3,4.5,4
3.944444444,4.8,3,3,4.5,4
3.888888889,5,5,4,4.75,5
3.888888889,5,5,4,4.75,5
3.888888889,5,5,4,4.75,5
3.888888889,5,5,4,4.75,5
3.888888889,5,5,4,4.75,5
3.888888889,5,5,4,4.75,5
4.055555556,5,5,4,4.5,4
4.055555556,5,5,4,4.5,4
4.055555556,5,5,4,4.5,4
4.055555556,5,5,4,4.5,4
4.055555556,5,5,4,4.5,4
4.055555556,5,5,4,4.5,4
3.888888889,4.8,3.5,4,4.5,4
3.888888889,4.8,3.5,4,4.5,4
3.888888889,4.8,3.5,4,4.5,4
3.888888889,4.8,3.5,4,4.5,4
3.888888889,4.8,3.5,4,4.5,4
3.666666667,4.4,4,4,4.25,5
3.666666667,4.4,4,4,4.25,5
3.666666667,4.4,4,4,4.25,5
3.666666667,4.4,4,4,4.25,5
3.666666667,4.4,4,4,4.25,5
3.666666667,4.4,4,4,4.25,5
3.277777778,4.4,4,3,3.75,3
3.277777778,4.4,4,3,3.75,3
3.277777778,4.4,4,3,3.75,3
3.277777778,4.4,4,3,3.75,3
3.277777778,4.4,4,3,3.75,3
3.555555556,4.4,4.5,4,4,4
3.722222222,4,3.5,3,4.75,3
3.722222222,4,3.5,3,4.75,3
3.722222222,4,3.5,3,4.75,3
3.388888889,3,2.5,3,3,3
3.388888889,3,2.5,3,3,3
3.388888889,3,2.5,3,3,3
3.388888889,3,2.5,3,3,3
3.833333333,4.4,4,4,4.75,4
3.833333333,4.4,4,4,4.75,4
3.833333333,4.4,4,4,4.75,4
3.833333333,4.4,4,4,4.75,4
3.722222222,4.8,3,5,4.25,4
3.722222222,4.8,3,5,4.25,4
3.722222222,4.8,3,5,4.25,4
3.722222222,4.8,3,5,4.25,4
3.722222222,4.8,3,5,4.25,4
3.722222222,4.8,3,5,4.25,4
4.111111111,5,5,5,4.5,4
4.111111111,5,5,5,4.5,4
4.111111111,5,5,5,4.5,4
4.111111111,5,5,5,4.5,4
4.111111111,5,5,5,4.5,4
2.888888889,3.8,3.5,3,3.25,4
4.055555556,4.2,3,4,4.5,4
4.055555556,4.2,3,4,4.5,4
4.055555556,4.2,3,4,4.5,4
4.055555556,4.2,3,4,4.5,4
4.5,4.5,3.5,4,5,4
4.25,4.333333333,4,5,5,4
3.5,3.833333333,3.5,3,5,3
4.5,4.666666667,3.5,4,5,5
4.25,4.5,4,5,4,5
4.75,4.833333333,4,4,5,4
4,4.333333333,4.5,4,5,4
4.25,4.333333333,3,5,5,5
4.5,4.666666667,5,5,5,5
4.5,4.666666667,5,5,5,5
4.75,4.666666667,4,4,5,4
4.125,4.25,4,4,5,4
4,4.166666667,4.5,5,4,5
4,4.166666667,4.5,5,5,5
4.75,4.666666667,4,4,5,4
3.25,3.666666667,3,4,5,5
4.5,4.5,4.5,5,5,5
4.5,4.5,4.5,5,5,5
4.5,4.5,3.5,4,5,4
4.5,4.666666667,3.5,4,5,5
4.125,4.25,4,4,5,4
4.125,4.25,4,4,5,4
4.125,4.25,4,4,5,4
4.25,4.5,3,4,5,4
4,4.333333333,4,5,5,4
4.25,4.333333333,4,4,4,5
4,4.166666667,4.5,5,4,5
4,4.166666667,4.5,5,4,5
4.25,4.333333333,4,5,5,4
4.5,4.5,4.5,5,5,5
4.25,4.333333333,4,4,5,5
4.25,4.333333333,4,5,5,4
4.25,4.333333333,4,5,5,4
3.25,3.666666667,3,4,5,5
4.5,4.833333333,4.5,5,5,5
4.5,4.833333333,4.5,5,5,5
4.5,4.833333333,4.5,5,5,5
4.5,4.666666667,5,5,5,5
3.75,4,4.5,4,5,5
4.5,4.5,3,5,5,4
4.5,4.5,3.5,4,5,4
4.5,4.5,3.5,4,5,4
4.5,4.666666667,5,5,5,5
4.75,4.666666667,4,4,5,4
4.5,4.833333333,4.5,5,4,5
